Timestamp,Torque,Temperature,RPM
1695654859,5.75,16.45,0.00
1695654860,5.66,15.60,0.00
1695654861,5.60,15.95,0.00
1695654862,5.57,15.72,0.00
1695654863,5.56,15.66,0.00
1695654864,5.55,15.57,0.00
1695654865,5.52,15.58,0.00
1695654865,5.47,15.70,0.00
1695654866,5.44,15.55,0.00
1695654867,5.42,15.58,0.00
1695654868,5.41,15.59,0.00
1695654869,16.88,18.97,0.00
1695654870,18.10,24.93,0.00
1695654870,16.88,29.75,0.00
1695654871,16.44,33.48,0.00
1695654872,14.88,35.57,0.00
1695654873,7.31,35.90,0.00
1695654874,9.45,35.77,0.00
1695654875,8.89,34.28,0.00
1695654876,8.29,33.95,0.00
1695654876,7.82,33.63,0.00
1695654877,7.51,33.33,0.00
1695654878,6.85,32.93,0.00
1695654879,6.11,29.72,0.00
1695654880,5.87,32.17,0.00
1695654881,5.77,32.01,0.00
1695654882,5.71,31.33,0.00
1695654882,5.62,31.55,0.00
1695654883,5.53,30.75,0.00
1695654884,5.45,30.77,0.00
1695654885,5.41,30.11,0.00
1695654886,5.36,30.05,0.00
1695654887,5.32,29.28,0.00
1695654887,5.27,29.64,0.00
1695654888,5.23,29.61,0.00
1695654889,5.19,29.43,0.00
1695654890,5.17,28.33,0.00
1695654891,5.14,28.65,0.00
1695654892,5.71,29.09,0.00
1695654893,7.08,31.34,0.00
1695654893,9.19,32.08,0.00
1695654894,9.61,32.95,0.00
1695654895,8.81,35.07,0.00
1695654896,13.78,34.71,0.00
1695654897,12.89,34.44,0.00
1695654898,12.10,34.22,0.00
1695654898,11.65,34.15,0.00
1695654899,11.39,33.97,0.00
1695654900,11.23,33.88,0.00
1695654901,11.10,33.76,0.00
1695654902,10.99,33.59,0.00
1695654903,10.92,34.67,0.00
1695654904,10.84,36.62,0.00
1695654904,10.77,38.32,0.00
1695654905,10.72,37.78,0.00
1695654906,10.67,36.55,0.00
1695654907,10.61,38.94,0.00
1695654908,10.54,38.76,0.00
1695654909,10.49,36.12,0.00
1695654910,10.43,33.86,0.00
1695654910,10.40,33.08,0.00
1695654911,10.36,32.63,0.00
1695654912,10.33,32.37,0.00
